Category: All categories

Month,Starbucks: (United States),Dunkin': (United States)
2011-08,40,13
2011-09,43,13
2011-10,44,12
2011-11,51,12
2011-12,51,13
2012-01,44,12
2012-02,42,12
2012-03,42,12
2012-04,41,12
2012-05,48,13
2012-06,43,14
2012-07,46,13
2012-08,43,12
2012-09,50,14
2012-10,47,13
2012-11,53,13
2012-12,58,13
2013-01,46,13
2013-02,44,13
2013-03,50,13
2013-04,46,13
2013-05,54,14
2013-06,52,19
2013-07,51,14
2013-08,50,15
2013-09,54,16
2013-10,51,15
2013-11,63,16
2013-12,62,16
2014-01,51,14
2014-02,50,15
2014-03,50,16
2014-04,52,16
2014-05,61,16
2014-06,54,18
2014-07,53,17
2014-08,52,16
2014-09,55,20
2014-10,54,16
2014-11,66,17
2014-12,73,17
2015-01,56,16
2015-02,51,15
2015-03,55,16
2015-04,57,17
2015-05,64,17
2015-06,58,22
2015-07,60,19
2015-08,59,22
2015-09,62,26
2015-10,60,19
2015-11,91,19
2015-12,77,19
2016-01,64,17
2016-02,59,17
2016-03,61,18
2016-04,64,18
2016-05,69,19
2016-06,72,23
2016-07,72,23
2016-08,66,24
2016-09,70,28
2016-10,64,20
2016-11,78,19
2016-12,87,23
2017-01,69,19
2017-02,67,19
2017-03,66,20
2017-04,89,22
2017-05,77,21
2017-06,73,26
2017-07,73,23
2017-08,74,24
2017-09,72,23
2017-10,67,21
2017-11,79,20
2017-12,87,23
2018-01,69,19
2018-02,62,19
2018-03,68,21
2018-04,86,21
2018-05,76,22
2018-06,78,26
2018-07,79,25
2018-08,79,23
2018-09,79,25
2018-10,73,23
2018-11,90,23
2018-12,93,25
2019-01,74,22
2019-02,69,23
2019-03,76,23
2019-04,77,27
2019-05,100,27
2019-06,87,30
2019-07,89,27
2019-08,84,27
2019-09,84,25
2019-10,80,24
2019-11,99,27
2019-12,100,26
2020-01,82,23
2020-02,77,25
2020-03,79,24
2020-04,62,22
